x,y
1.28e-06,0.0002063
0.00015578,-0.00218399
0.00047748,-0.00360344
0.00102029,-0.00482311
0.00188207,-0.00589101
0.0030771,-0.0069042
0.00536346,-0.00833777
0.00818256,-0.00966916
0.01396759,-0.01167125
0.0299804,-0.01489783
0.05146211,-0.01693984
0.07820223,-0.01780217
0.10998679,-0.01752983
0.14654017,-0.01622017
0.18753106,-0.01399145
0.23256226,-0.01100035
0.28117044,-0.00741551
0.33282653,-0.00342225
0.38695746,0.00080409
0.44295096,0.00506331
0.50015235,0.00915869
0.55787098,0.01286723
0.61535885,0.01597279
0.67182118,0.01826471
0.7264066,0.01957527
0.77822736,0.01980849
0.82641818,0.01896858
0.87014991,0.01711775
0.908657,0.01440675
0.94123377,0.01098584
0.96708092,0.00711905
0.98551223,0.00347938
0.99640825,0.00091297
1.0,0.0
