Position,   Chargement
0.00000,        64.227
0.05373,        63.854
0.16462,        63.021
0.27075,        61.875
0.37686,        60.208
0.48139,        58.333
0.58116,        56.354
0.67934,        54.063
0.77119,        51.875
0.86503,        49.528
0.95031,        47.034
1.03409,        44.344
1.10989,        41.719
1.17820,        38.930
1.24301,        36.141
1.30034,        33.188
1.35267,        30.268
1.39850,        26.725
1.43635,        23.181
1.46621,        19.342
1.48857,        15.110
1.50244,        10.418
1.50782,         5.824
1.51000,         0.000
